frame,kelas_salon,split,name_zip
1,lurus,train,Figaro-1k/Original/Training/Frame00001-org.jpg
2,lurus,train,Figaro-1k/Original/Training/Frame00002-org.jpg
3,lurus,train,Figaro-1k/Original/Training/Frame00003-org.jpg
4,lurus,train,Figaro-1k/Original/Training/Frame00004-org.jpg
5,lurus,train,Figaro-1k/Original/Training/Frame00005-org.jpg
6,lurus,train,Figaro-1k/Original/Training/Frame00006-org.jpg
7,lurus,train,Figaro-1k/Original/Training/Frame00007-org.jpg
8,lurus,train,Figaro-1k/Original/Training/Frame00008-org.jpg
9,lurus,train,Figaro-1k/Original/Training/Frame00009-org.jpg
10,lurus,train,Figaro-1k/Original/Testing/Frame00010-org.jpg
11,lurus,train,Figaro-1k/Original/Training/Frame00011-org.jpg
12,lurus,train,Figaro-1k/Original/Training/Frame00012-org.jpg
13,lurus,train,Figaro-1k/Original/Testing/Frame00013-org.jpg
14,lurus,train,Figaro-1k/Original/Training/Frame00014-org.jpg
15,lurus,train,Figaro-1k/Original/Training/Frame00015-org.jpg
16,lurus,train,Figaro-1k/Original/Training/Frame00016-org.jpg
17,lurus,train,Figaro-1k/Original/Training/Frame00017-org.jpg
18,lurus,train,Figaro-1k/Original/Testing/Frame00018-org.jpg
19,lurus,train,Figaro-1k/Original/Training/Frame00019-org.jpg
20,lurus,train,Figaro-1k/Original/Training/Frame00020-org.jpg
21,lurus,train,Figaro-1k/Original/Training/Frame00021-org.jpg
22,lurus,train,Figaro-1k/Original/Training/Frame00022-org.jpg
23,lurus,train,Figaro-1k/Original/Training/Frame00023-org.jpg
24,lurus,train,Figaro-1k/Original/Testing/Frame00024-org.jpg
25,lurus,train,Figaro-1k/Original/Training/Frame00025-org.jpg
26,lurus,train,Figaro-1k/Original/Training/Frame00026-org.jpg
27,lurus,train,Figaro-1k/Original/Training/Frame00027-org.jpg
28,lurus,train,Figaro-1k/Original/Training/Frame00028-org.jpg
29,lurus,train,Figaro-1k/Original/Training/Frame00029-org.jpg
30,lurus,train,Figaro-1k/Original/Testing/Frame00030-org.jpg
31,lurus,train,Figaro-1k/Original/Training/Frame00031-org.jpg
32,lurus,train,Figaro-1k/Original/Testing/Frame00032-org.jpg
33,lurus,train,Figaro-1k/Original/Training/Frame00033-org.jpg
34,lurus,train,Figaro-1k/Original/Training/Frame00034-org.jpg
35,lurus,train,Figaro-1k/Original/Training/Frame00035-org.jpg
36,lurus,train,Figaro-1k/Original/Training/Frame00036-org.jpg
37,lurus,train,Figaro-1k/Original/Training/Frame00037-org.jpg
38,lurus,train,Figaro-1k/Original/Training/Frame00038-org.jpg
39,lurus,train,Figaro-1k/Original/Training/Frame00039-org.jpg
40,lurus,train,Figaro-1k/Original/Training/Frame00040-org.jpg
41,lurus,train,Figaro-1k/Original/Training/Frame00041-org.jpg
42,lurus,train,Figaro-1k/Original/Training/Frame00042-org.jpg
43,lurus,train,Figaro-1k/Original/Training/Frame00043-org.jpg
44,lurus,train,Figaro-1k/Original/Training/Frame00044-org.jpg
45,lurus,train,Figaro-1k/Original/Training/Frame00045-org.jpg
46,lurus,train,Figaro-1k/Original/Training/Frame00046-org.jpg
47,lurus,train,Figaro-1k/Original/Training/Frame00047-org.jpg
48,lurus,train,Figaro-1k/Original/Testing/Frame00048-org.jpg
49,lurus,train,Figaro-1k/Original/Training/Frame00049-org.jpg
50,lurus,train,Figaro-1k/Original/Testing/Frame00050-org.jpg
51,lurus,train,Figaro-1k/Original/Training/Frame00051-org.jpg
52,lurus,train,Figaro-1k/Original/Testing/Frame00052-org.jpg
53,lurus,train,Figaro-1k/Original/Training/Frame00053-org.jpg
54,lurus,train,Figaro-1k/Original/Training/Frame00054-org.jpg
55,lurus,train,Figaro-1k/Original/Training/Frame00055-org.jpg
56,lurus,train,Figaro-1k/Original/Training/Frame00056-org.jpg
57,lurus,train,Figaro-1k/Original/Training/Frame00057-org.jpg
58,lurus,train,Figaro-1k/Original/Training/Frame00058-org.jpg
59,lurus,train,Figaro-1k/Original/Training/Frame00059-org.jpg
60,lurus,train,Figaro-1k/Original/Testing/Frame00060-org.jpg
61,lurus,train,Figaro-1k/Original/Training/Frame00061-org.jpg
62,lurus,train,Figaro-1k/Original/Training/Frame00062-org.jpg
63,lurus,train,Figaro-1k/Original/Testing/Frame00063-org.jpg
64,lurus,train,Figaro-1k/Original/Testing/Frame00064-org.jpg
65,lurus,train,Figaro-1k/Original/Training/Frame00065-org.jpg
66,lurus,train,Figaro-1k/Original/Training/Frame00066-org.jpg
67,lurus,train,Figaro-1k/Original/Training/Frame00067-org.jpg
68,lurus,train,Figaro-1k/Original/Training/Frame00068-org.jpg
69,lurus,train,Figaro-1k/Original/Testing/Frame00069-org.jpg
70,lurus,train,Figaro-1k/Original/Training/Frame00070-org.jpg
71,lurus,train,Figaro-1k/Original/Training/Frame00071-org.jpg
72,lurus,train,Figaro-1k/Original/Training/Frame00072-org.jpg
73,lurus,train,Figaro-1k/Original/Training/Frame00073-org.jpg
74,lurus,train,Figaro-1k/Original/Training/Frame00074-org.jpg
75,lurus,train,Figaro-1k/Original/Training/Frame00075-org.jpg
76,lurus,train,Figaro-1k/Original/Training/Frame00076-org.jpg
77,lurus,train,Figaro-1k/Original/Training/Frame00077-org.jpg
78,lurus,train,Figaro-1k/Original/Training/Frame00078-org.jpg
79,lurus,train,Figaro-1k/Original/Testing/Frame00079-org.jpg
80,lurus,train,Figaro-1k/Original/Training/Frame00080-org.jpg
81,lurus,train,Figaro-1k/Original/Training/Frame00081-org.jpg
82,lurus,train,Figaro-1k/Original/Training/Frame00082-org.jpg
83,lurus,train,Figaro-1k/Original/Training/Frame00083-org.jpg
84,lurus,train,Figaro-1k/Original/Testing/Frame00084-org.jpg
85,lurus,train,Figaro-1k/Original/Training/Frame00085-org.jpg
86,lurus,train,Figaro-1k/Original/Training/Frame00086-org.jpg
87,lurus,train,Figaro-1k/Original/Training/Frame00087-org.jpg
88,lurus,train,Figaro-1k/Original/Training/Frame00088-org.jpg
89,lurus,train,Figaro-1k/Original/Testing/Frame00089-org.jpg
90,lurus,train,Figaro-1k/Original/Testing/Frame00090-org.jpg
91,lurus,train,Figaro-1k/Original/Training/Frame00091-org.jpg
92,lurus,train,Figaro-1k/Original/Training/Frame00092-org.jpg
93,lurus,train,Figaro-1k/Original/Training/Frame00093-org.jpg
